timestamp,Total Rooms,Out of Service,Available Rooms,Occupied Rooms,Occupied Percent,Room Revenue,Average Daily Rate ADR,Market ADR,Revenue Per Available Room RevPAR,Market RevPar,Average Occupancy Rate AOR,Gross Operating Profit per Available Room GOPPAR,Market Penetration Index MPI,Average Rate Index,Revenue Generation Index RGI,Market Cost per Booking,Sentiment Analysis,Direct Revenue Ratio DRR,Web Conversion,Segmentation,Outlet Net Revenue,Total Revenue,Total Revenue per Available Room TREVPAR,market_rev_diff
2020-01-01,81,3,78,75,0.9259,21353,284.71,253.3919,274.0,374.0,0.96,27.300000000000104,2.0575555555555556,1.1235955056179774,0.732620320855615,0.04,0.88,0.09000000000000001,0.034999999999999996,"[0.005, 0.015, 0.034999999999999996, 0.005, 0.024999999999999998]",5551.779999999998,26904.78,344.9330769230769,100
2020-01-02,81,1,80,69,0.8519,16905,245.0,271.95,211.0,278.0,0.86,23.60000000000005,0.9791954022988506,0.9009009009009009,0.7589928057553957,0.12,0.93,0.05,0.024999999999999998,"[0.04499999999999999, 0.04499999999999999, 0.024999999999999998, 0.024999999999999998, 0.04499999999999999]",3888.149999999999,20793.149999999998,259.91437499999995,67
2020-01-03,81,2,79,73,0.9012,19391,265.63,249.69219999999999,245.0,367.0,0.92,29.400000000000134,1.0013333333333334,1.0638297872340425,0.667574931880109,0.35,0.97,0.08000000000000002,0.04499999999999999,"[0.015, 0.034999999999999996, 0.04499999999999999, 0.04499999999999999, 0.034999999999999996]",4847.749999999998,24238.75,306.81962025316454,122
2020-01-04,81,3,78,31,0.3827,16525,533.06,490.41519999999997,212.0,334.0,0.4,24.30000000000006,0.6958181818181818,1.0869565217391304,0.6347305389221557,0.07,0.88,0.16000000000000003,0.04499999999999999,"[0.024999999999999998, 0.04499999999999999, 0.034999999999999996, 0.034999999999999996, 0.034999999999999996]",2313.4999999999995,18838.5,241.51923076923077,122
2020-01-05,81,2,79,60,0.7407,18846,314.1,348.651,239.0,348.0,0.76,26.100000000000087,1.3467272727272728,0.9009009009009009,0.6867816091954023,0.45,0.99,0.15000000000000002,0.005,"[0.005, 0.034999999999999996, 0.04499999999999999, 0.024999999999999998, 0.04499999999999999]",2261.52,21107.52,267.18379746835444,109
2020-01-06,81,2,79,63,0.7778,17895,284.05,261.326,227.0,302.0,0.8,27.400000000000105,1.7284444444444444,1.0869565217391304,0.7516556291390728,0.1,0.93,0.27,0.04499999999999999,"[0.034999999999999996, 0.04499999999999999, 0.015, 0.034999999999999996, 0.005]",5189.549999999998,23084.55,292.20949367088605,75
2020-01-07,81,4,77,70,0.8642,21673,309.61,294.1295,281.0,213.0,0.91,28.300000000000118,0.9933333333333333,1.0526315789473684,1.3192488262910798,0.23,0.87,0.39000000000000007,0.034999999999999996,"[0.015, 0.04499999999999999, 0.04499999999999999, 0.04499999999999999, 0.034999999999999996]",3901.1399999999994,25574.14,332.1316883116883,-68
2020-01-08,81,1,80,66,0.8148,14753,223.53,212.3535,184.0,259.0,0.82,28.100000000000115,1.2161194029850746,1.0526315789473684,0.7104247104247104,0.24,0.9,0.35000000000000003,0.015,"[0.005, 0.034999999999999996, 0.024999999999999998, 0.015, 0.005]",2065.4199999999996,16818.42,210.23024999999998,75
2020-01-09,81,0,81,71,0.8765,21737,306.15,330.642,268.0,389.0,0.88,29.80000000000014,0.9738888888888888,0.9259259259259258,0.6889460154241646,0.04,0.93,0.1,0.04499999999999999,"[0.005, 0.04499999999999999, 0.024999999999999998, 0.005, 0.024999999999999998]",3477.9199999999996,25214.92,311.2953086419753,121
2020-01-10,81,5,76,62,0.7654,21878,352.87,374.0422,288.0,355.0,0.82,22.500000000000036,0.8319565217391304,0.9433962264150944,0.8112676056338028,0.49,0.87,0.12000000000000001,0.005,"[0.04499999999999999, 0.005, 0.024999999999999998, 0.015, 0.04499999999999999]",3719.2599999999998,25597.26,336.80605263157895,67
